AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL
266.02703229166667,105.98230979166667,175.27471416666666,23.008327083333334,9.866035625,90.752318125,62.489560833333336,1047.06
266.55975854166667,105.97793729166666,175.553163125,23.036841875,9.813110625,91.00659541666667,62.764671041666666,1024.24
266.43023958333333,105.99549020833334,175.57391791666666,23.650002083333334,10.101676041666666,90.85632166666667,62.611274791666666,1050.43
266.41878382978723,106.01224936170213,175.6257455319149,23.81089893617021,10.024740212765957,90.79303829787234,62.54996659574468,1045.41
266.416185625,106.02519395833333,175.6383375,24.031896458333332,10.087653125,90.777848125,62.539235,1038.88
266.458694375,106.03570666666667,175.70674125,24.16203375,10.057718958333334,90.751953125,62.505230625,1030.14
266.63360708333335,106.040583125,175.83541791666667,24.593934583333333,10.081355,90.79818916666666,62.551052291666664,1029.58
266.7567966666667,106.04800041666667,175.93102604166666,24.88270625,10.123797083333333,90.825770625,62.57272770833333,1030.05
267.3017906525977,106.05712466544071,176.0990283890232,24.94828474260264,8.399123541666667,91.20276226357448,62.86377159975583,697.86
276.028629375,105.60534166666666,182.39138208333333,3.4439520833333335,9.482035833333333,93.63724729166667,65.02622395833333,940.96
270.21513354166666,105.750261875,177.68150229166667,12.583681875,9.642923333333334,92.53363125,63.97368625,969.43
267.2551291666667,105.85561770833333,176.55827895833335,17.725504791666665,9.8462925,90.69685020833333,62.281690833333336,1016.4
262.94976041666666,106.00445520833334,174.73640229166668,23.290521666666667,10.236424791666666,88.213358125,59.73397104166666,1156.84
262.6432904166667,106.03402229166667,174.63955833333333,24.75306875,10.228139166666667,88.00373208333333,59.571635416666666,1150.65
262.6987495833333,106.04524583333334,174.673456875,25.835519583333333,10.202685625,88.02529270833334,59.604983958333335,1140.41
262.92284127659576,106.05076957446809,174.76657489361702,26.26606595744681,9.942059166666667,88.15626638297873,59.72425680851064,1109.4
262.89357458333336,106.06251291666666,174.764509375,26.25135375,10.165071666666666,88.12906520833333,59.705925625,1118.97
262.92103645833333,106.071751875,174.78237875,27.09082625,10.16986875,88.13865770833333,59.623933541666666,1102.58
263.0465127568943,106.08505892673512,175.26027971118148,16.91922581938127,8.324741458333333,87.78623304571283,59.48832385941065,809.9
271.36067391200953,105.1412989599084,181.59700970519913,2.044607034391863e-05,3.297575625,89.76366420681043,61.95875299053662,329.15
263.558386875,105.67652875,176.13907416666666,4.119458958333333,10.072434166666667,87.41931270833334,59.07919666666667,982.21
261.93000472170223,105.84057593280889,175.12084012791556,8.643075314942223,9.401079791666668,86.80916459378666,58.59878745852,947.47
260.8941154166667,105.93208604166666,174.41842125,11.458481041666667,9.964684166666666,86.47569416666667,57.99025708333333,1042.0
259.7588989973704,106.00051997518027,175.2841155281846,13.613208888943557,5.4178283333333335,84.47478346918581,56.31831115628594,474.31
269.07756157832387,105.31686528496098,180.09236925991377,1.1251380964260216,6.765331458333334,88.98519231841011,61.566095918723725,642.66
265.40279796621905,105.67653029277727,178.56016132676012,5.283879231685235,5.044405833333333,86.84263663945892,58.84005283428217,309.88
265.17451059483136,105.57377333150168,177.34047645914043,4.385844232106459,9.713605833333334,87.83403413569093,59.60332974172391,1034.51
261.31378125,105.85295708333334,174.77882354166667,11.629663333333333,10.239743541666666,86.53495770833334,58.193455,1074.59
260.90213645833336,105.90843770833334,174.53384854166666,13.308663333333334,10.353891458333333,86.36828791666667,58.021176458333336,1142.53
262.0022060416667,105.89522020833333,175.021261875,12.960858333333332,10.060066666666666,86.98094416666666,58.637005208333335,1107.51
260.714548125,105.9396925,174.47493354166667,14.152799375,10.154590833333334,86.23961458333333,57.90415208333334,1124.52
261.5337622653722,105.94888081758637,175.103088268841,14.550036787077781,4.5381785416666665,86.43067399653125,58.25553267211331,299.46
263.9707401653074,105.3378341331538,178.47312823160996,2.278573561338675,5.838221666666667,85.49761193369741,57.07534651049223,380.03
253.09099395833334,103.00888645833334,167.970683125,10.985122083333334,10.3539175,85.12031083333333,56.639682083333334,1158.6
255.17969625,104.527364375,170.43971875,14.5291525,10.417456458333334,84.7399775,56.260281666666664,1194.95
258.3186425,105.962461875,173.56895229166668,15.202114166666666,10.429214166666666,84.74969020833333,56.271827083333335,1195.94
258.2507254166667,105.98951125,173.52965291666666,15.477568125,10.428322916666668,84.7210725,56.24400645833333,1249.05
258.2099563829787,106.00756914893617,173.5284680851064,15.670587234042554,10.446924893617021,84.68148829787233,56.200578723404256,1245.28
258.2508135416667,106.02159479166667,173.53463125,16.122814166666668,10.451334583333333,84.71618229166667,56.22224104166666,1242.87
258.238314375,106.03366125,173.58473520833334,16.552117708333334,10.301252708333333,84.65357916666666,56.17987625,1235.41
256.70253333333335,106.08401958333333,172.87100458333333,17.40887,10.39257875,83.83152875,55.342419791666664,1256.2
256.550655106383,106.10094276595744,172.84420170212766,17.477162978723403,10.271919375,83.70645340425531,55.22669680851064,1251.09
256.51352145833334,106.11144416666667,172.91971458333333,17.666524583333334,10.467845416666666,83.593806875,55.1129475,1251.81
256.0478233333333,106.12942145833334,172.81665041666668,17.837793333333334,10.592363541666666,83.23117291666667,54.7401625,1256.98
255.32740979166667,106.15886979166666,172.539071875,18.091260416666668,10.672740416666667,82.78833791666666,54.304822916666666,1271.99
255.99637702132188,106.1623962835216,174.1362151473618,18.65412811456004,8.4386125,81.86016187396007,53.44636152451805,655.2
